name,title,description,slug
Diego,Senior AI Engineer,Builds operational AI solutions and production ML pipelines for clinical settings.,diego
Theofilos,Principal Investigator,Leads translational AI projects and coordinates collaborations across clinical and data science teams.,theofilos
